SAMPLE_SYNONYM,RUN_ID,LANE,PLEX,CGP_PASS,READPAIR_COUNT,STUDY_ID
H2369,13226,2,,y,168157149,3140
H2373,13226,3,,y,162923058,3140
H2461,13226,4,,y,151867723,3140
H2591,13226,5,,y,152839083,3140
H2595,13226,6,,y,184083705,3140
H2722,13226,7,,y,153875936,3140
H2731,13226,8,,y,169230542,3140
H2795,13265,1,,y,168083585,3140
H2803,13265,2,,y,164033569,3140
H2804,13265,3,,y,170409809,3140
H2810,13265,4,,y,176286522,3140
H2818,13265,5,,y,172996534,3140
H2869,13265,6,,y,174809077,3140
H290,13265,7,,y,174545590,3140
H3118,15921,7,,y,224440699,3140
H513,13265,8,,y,164807195,3140
H9,15921,8,,y,232669952,3140
HA7-RCC,15550,4,,y,248787846,3140
HAL,14771,5,,y,262137180,3140
HAL-01,15922,1,,y,224237574,3140
HC-1,15922,2,,y,237269447,3140
HCC1187,13617,1,,y,165385516,3140
HCC1806,13617,2,,y,171001970,3140
HCC2998,13667,7,,y,184168367,3140
HCE-4,15922,3,,y,240743982,3140
HCT-116,13305,1,,y,147871041,3140
HCT-15,13667,8,,y,175396576,3140
HDLM-2,15922,4,,y,257191910,3140
HEC-1,15922,5,,y,247314279,3140
HLE,15922,8,,y,87633226,3140
HLE,15996,6,,y,215205806,3140
HMV-II,15545,3,,y,228686054,3140
HN,15937,1,,y,261654205,3140
HO-1-N-1,15937,2,,y,235795394,3140
HO-1-u-1,15937,3,,y,237960588,3140
HOSMNNG,14771,3,,y,271661348,3140
HSC-39,15937,6,,y,217638645,3140
HT-115,13750,4,,y,178967054,3140
HT-29,13305,2,,y,161745417,3140
HT-3,15937,7,,y,228053037,3140
HT55,13750,5,,y,184028751,3140
HTC-C3,15550,5,,y,251964188,3140
HUH-6-clone5,15937,8,,y,231620066,3140
HeLa,15922,6,,y,226432250,3140
Hey,15922,7,,y,246152443,3140
Hs-445,15937,4,,y,213895333,3140
Hs633T,15937,5,,y,215394314,3140
HuO-3N1,14688,4,,y,231254884,3140
HuO9,14688,5,,y,230679714,3140
IHH-4,15550,6,,y,255931644,3140
IM-9,15550,7,,y,246131143,3140
IMR-5,15938,1,,y,253593854,3140
IST-MEL1,15545,4,,y,252187353,3140
IST-MES1,13305,3,,y,171357515,3140
IST-SL1,14688,6,,y,256813366,3140
IST-SL2,14688,7,,y,253706164,3140
JAR,15938,2,,y,266587792,3140
JEG-3,15938,3,,y,236089663,3140
JHOS-3,15938,4,,y,234829020,3140
JHU-011,15938,5,,y,249734539,3140
JHU-022,15938,6,,y,227091669,3140
JHU-029,15938,7,,y,225392187,3140
JSC-1,15960,1,,y,229051772,3140
JiyoyeP-2003,15938,8,,y,229281293,3140
K2,15545,5,,y,245005909,3140
K5,15550,8,,y,264659238,3140
KARPAS-1106P,15960,2,,y,240266337,3140
KARPAS-231,15960,3,,y,233568922,3140
KARPAS-45,15960,4,,y,233049038,3140
KARPAS-620,16756,6,53,y,192968015,3140
KGN,15960,5,,y,208834764,3140
KINGS-1,15960,6,,y,213447193,3140
KMH-2,15551,1,,y,254235021,3140
KMOE-2,15960,7,,y,232434664,3140
KNS-62,16756,7,54,y,199311350,3140
KNS-81-FD,15960,8,,y,231297590,3140
KO52,15975,1,,y,229317099,3140
KON,15975,2,,y,220999714,3140
KOSC-2,15975,3,,y,227004879,3140
KP-1N,15975,4,,y,222315383,3140
KP-N-YS,15975,5,,y,231511730,3140
KPD,14771,7,,y,250202419,3140
KU812,13617,7,,y,135198505,3140
KY821,15975,6,,y,230247840,3140
KYAE-1,15975,7,,y,230939741,3140
KYSE-220,15975,8,,y,237717441,3140
KYSE-50,16079,3,,y,253990464,3140
LAMA-84,13617,8,,y,143751177,3140
LAN-6,16079,4,,y,237944510,3140
LB1047-RCC,15551,2,,y,270352114,3140
LB1047-RCC,15688,2,,y,251544218,3140
LB2241-RCC,15551,3,,y,228708106,3140
LB2518-MEL,15545,6,,y,232850710,3140
LB373-MEL-D,15545,7,,y,260164872,3140
LB647-SCLC,14688,8,,y,275047295,3140
LB771-HNC,16079,5,,y,247515756,3140
LB831-BLC,16082,1,,y,202826761,3140
LB996-RCC,15551,4,,y,249845836,3140
LC-1-sq,14725,1,,y,272534517,3140
LC-2-ad,14725,2,,y,254901815,3140
LC4-1,16082,2,,y,213940061,3140
LIM1215,16082,3,,y,219080881,3140
LN-405,16082,4,,y,206016290,3140
LNZTA3WT4,16082,5,,y,233043960,3140
LS-180,13666,1,,y,169770958,3140
LS-513,13666,2,,y,170738085,3140
LU-134-A,14725,3,,y,241031484,3140
LU-135,14725,4,,y,235403624,3140
LU-139,14725,5,,y,221382260,3140
LU-165,14725,6,,y,270485750,3140
M059J,16082,6,,y,210439245,3140
M14,15545,8,,y,268637144,3140
MC-1010,16082,7,,y,217279360,3140
MC-CAR,15551,6,,y,249580873,3140
MC-IXC,16082,8,,y,226746423,3140
MCC13,15529,1,,y,268550283,3140
MCC26,15551,5,,y,250326084,3140
MDA-MB-330,15529,2,,y,261568545,3140
MDA-MB-361,16756,8,55,y,149690955,3140
MDST8,14725,7,,y,231300467,3140
ME-180,16083,1,,y,195823978,3140
MFH-ino,16083,2,,y,221057013,3140
MFM-223,15529,3,,y,248918755,3140
MHH-PREB-1,16083,3,,y,203096039,3140
MHM,14771,6,,N,273078271,3140
MHM,15223,2,,y,259044948,3140
MKN28,16083,4,,y,193975977,3140
ML-2,16083,5,,y,242861504,3140
MLMA,16083,6,,y,193558239,3140
MMAC-SF,15551,7,,y,258935563,3140
MN-60,16083,7,,y,206964085,3140
MOG-G-CCM,16083,8,,y,194330347,3140
MOG-G-UVW,16090,1,,y,222730268,3140
MOLT-4,16090,2,,y,194732197,3140
MRK-nu-1,15529,4,,y,235638752,3140
MS-1,14725,8,,y,248130001,3140
MS751,16090,4,,y,222803274,3140
MY-M12,16090,5,,y,229124317,3140
MZ1-PC,16090,6,,y,207985290,3140
MZ2-MEL,15551,8,,y,255005452,3140
MZ7-mel,15552,1,,y,249113346,3140
Mo-T,16090,3,,y,203896678,3140
NB-TU-1-10,16090,7,,y,221582468,3140
NB10,16090,8,,y,208083198,3140
NB12,16092,1,,y,219869096,3140
NB13,16092,2,,y,221869332,3140
NB14,16092,3,,y,187024325,3140
NB17,16092,4,,y,205297133,3140
NB5,16092,5,,y,227913048,3140
NB6,16092,6,,y,195928514,3140
NB69,16092,7,,y,218231301,3140
NB7,16092,8,,y,175694788,3140
NBsusSR,16192,6,,y,217064990,3140
NCC010,15552,2,,y,266222392,3140
NCC010,15688,3,,y,260710658,3140
NCC021,15552,3,,y,232175067,3140
NCCIT,16098,1,,y,206433066,3140
NCI-H128,14726,1,,y,236470004,3140
NCI-H1304,14726,2,,y,261251397,3140
NCI-H1417,14726,3,,y,274978087,3140
NCI-H1688,14726,4,,y,261813951,3140
NCI-H1770,14726,5,,y,243447912,3140
NCI-H1836,14726,6,,y,270122144,3140
NCI-H187,14726,7,,y,225903453,3140
NCI-H1993,14726,8,,y,198123239,3140
NCI-H2135,14770,1,,y,189044663,3140
NCI-H2141,14770,2,,y,196853570,3140
NCI-H250,14770,3,,y,193080474,3140
NCI-H3122,14770,4,,y,259198111,3140
NCI-H345,14770,5,,y,263451103,3140
NCI-H378,14770,6,,y,259961040,3140
NCI-H510A,15529,5,,y,239296078,3140
NCI-H630,13666,3,,y,170140323,3140
NCI-H64,15529,6,,y,237464388,3140
NCI-H661,17066,1,1,y,146107391,3140
NCI-H720,15529,7,,y,248377553,3140
NCI-H740,15529,8,,y,262126145,3140
NCI-H748,15552,4,,y,221926434,3140
NCI-H820,15552,5,,y,236652776,3140
NCI-H835,15552,6,,y,230697659,3140
NCI-H847,15552,7,,y,233684039,3140
NCI-SNU-1,16098,2,,y,232589062,3140
NCI-SNU-16,16098,3,,y,196199817,3140
NEC8,16098,4,,y,218299608,3140
NH-12,16098,5,,y,233753451,3140
NKM-1,16098,6,,y,220042127,3140
NOS-1,14770,7,,y,254397645,3140
NOS-1,14771,4,,y,243266326,3140
NTERA-2cl-D1,16117,1,,y,192631095,3140
NY,14770,8,,y,237194852,3140
OACM5-1,16117,2,,y,224127187,3140
OACp4C,16117,3,,y,225647274,3140
OCI-LY7,16117,4,,y,210850496,3140
OCUB-M,15552,8,,y,236271032,3140
OHS,14771,1,,N,285119619,3140
OHS,15223,1,,y,263307462,3140
OMC-1,16117,5,,y,223561046,3140
OSC-19,16117,6,,y,199198179,3140
OSC-20,16117,7,,y,220822764,3140
OST,14771,8,,y,242547270,3140
OV-17R,16117,8,,y,158556122,3140
OVCA420,16099,1,,y,220186416,3140
OVCA433,16099,2,,y,154762692,3140
OVCAR-5,16099,3,,y,222430871,3140
OVKATE,16099,4,,y,227196772,3140
OVMIU,16099,5,,y,201882307,3140
P30-OHK,16099,6,,y,212106471,3140
P32-ISH,16099,7,,y,166850785,3140
PA-1,16099,8,,y,220352384,3140
PC-3_JPC-3,15581,1,,y,247703796,3140
PCI-15A,16132,1,,y,203111496,3140
PCI-30,16132,2,,y,204339418,3140
PCI-38,16132,3,,y,202005081,3140
PCI-4B,16132,4,,y,228262528,3140
PCI-6A,16132,5,,y,231593456,3140
PEO1,16132,6,,y,241880288,3140
PFSK-1,16132,7,,y,208505200,3140
PL18,16132,8,,y,210334091,3140
PL4,16133,1,,y,206079427,3140
PWR-1E,16133,2,,y,178318021,3140
QIMR-WIL,16133,3,,y,197369646,3140
RC-K8,16133,7,,y,175600601,3140
RCC-AB,15581,2,,y,255137893,3140
RCC-ER,16133,5,,y,197829522,3140
RCC-FG2,16133,6,,y,252033365,3140
RCC-JF,15581,3,,y,261643015,3140
RCC-JW,15581,4,,y,256410440,3140
RCC-MF,15581,5,,y,239935508,3140
RF-48,16133,8,,y,217858976,3140
RH-1,16141,1,,y,199174885,3140
RKO,13305,4,,y,171715158,3140
RO82-W-1,15581,6,,y,239620296,3140
ROS-50,16141,2,,y,216915211,3140
RPMI-2650,16141,3,,y,236248179,3140
RPMI-6666,16141,4,,y,214602663,3140
RPMI-8866,16141,5,,y,231261749,3140
RVH-421,15581,7,,y,280235814,3140
RVH-421,15688,4,,y,244532103,3140
RXF393,17066,2,1,y,225756094,3140
Ramos-2G6-4C10,16133,4,,y,212349192,3140
SAS,16141,6,,y,194651102,3140
SAT,16141,7,,y,255130838,3140
SBC-1,15574,1,,y,264531046,3140
SBC-3,15574,2,,y,245292750,3140
SC-1,16141,8,,y,237208767,3140
SCC-3,16142,4,,y,220244716,3140
SCC90,16142,5,,y,210290072,3140
SCH,16142,6,,y,227137175,3140
SISO,16116,1,,y,229804892,3140
SJRH30,16116,2,,y,202600972,3140
SK-GT-2,16116,4,,y,225342754,3140
SK-GT-4,16116,5,,y,196148201,3140
SK-MEL-2,15574,3,,y,238039569,3140
SK-MG-1,16116,6,,y,202156596,3140
SK-N-SH,16206,1,,N,273024002,3140
